RANK,NAME,COINS_URL,PRICE,DIRECT_VOLUME,TOTAL_VOLUME,TIER_VOLUME,MARKET_CAP,RATING,PRICE_CHANGE,CHART
84,OMG Network-OMG,https://www.cryptocompare.com/coins/omg/overview/USD,$ 1.856,$ 2.10 M,$ 15.94 M,$ 15.94 M,$ 260.30 M,D,,https://images.cryptocompare.com/sparkchart/OMG/USD/latest.png?ts=1655492400
85,Hedera Hashgraph-HBAR,https://www.cryptocompare.com/coins/hbar/overview/USD,$ 0.06680,$ 725.16 k,$ 15.68 M,$ 15.68 M,$ 1.41 B,,,https://images.cryptocompare.com/sparkchart/HBAR/USD/latest.png?ts=1655492400
86,Power Ledger-POWR,https://www.cryptocompare.com/coins/powr/overview/USD,$ 0.2124,-,$ 15.94 M,$ 15.79 M,$ 212.44 M,C+,,https://images.cryptocompare.com/sparkchart/POWR/USD/latest.png?ts=1655492400
87,Maker-MKR,https://www.cryptocompare.com/coins/mkr/overview/USD,$ 765.87,$ 3.52 M,$ 15.78 M,$ 15.78 M,$ 748.74 M,C+,,https://images.cryptocompare.com/sparkchart/MKR/USD/latest.png?ts=1655492400
88,Swipe-SXP,https://www.cryptocompare.com/coins/sxp/overview/USD,$ 0.3661,$ 119.41 k,$ 15.66 M,$ 15.66 M,$ 104.46 M,C,,https://images.cryptocompare.com/sparkchart/SXP/USD/latest.png?ts=1655492400
89,Harmony-ONE,https://www.cryptocompare.com/coins/one/overview/USD,$ 0.02580,$ 825.15 k,$ 15.45 M,$ 15.45 M,$ 348.21 M,,,https://images.cryptocompare.com/sparkchart/ONE/USD/latest.png?ts=1655492400
90,UMA-UMA,https://www.cryptocompare.com/coins/uma/overview/USD,$ 2.679,$ 1.70 M,$ 15.25 M,$ 15.25 M,$ 288.49 M,C,,https://images.cryptocompare.com/sparkchart/UMA/USD/latest.png?ts=1655492400
91,Celer Network-CELR,https://www.cryptocompare.com/coins/celr/overview/USD,$ 0.01312,-,$ 15.12 M,$ 15.12 M,$ 131.24 M,C,,https://images.cryptocompare.com/sparkchart/CELR/USD/latest.png?ts=1655492400
92,Dai-DAI,https://www.cryptocompare.com/coins/dai/overview/USD,$ 0.9999,$ 5.99 M,$ 15.20 M,$ 15.10 M,$ 6.36 B,,,https://images.cryptocompare.com/sparkchart/DAI/USD/latest.png?ts=1655492400
93,dYdX-DYDX,https://www.cryptocompare.com/coins/dydx/overview/USD,$ 1.150,$ 1.60 M,$ 16.46 M,$ 14.99 M,$ 1.15 B,,,https://images.cryptocompare.com/sparkchart/DYDX/USD/latest.png?ts=1655492400
